,id,full_text,user_location,geo,coordinates,place
0,1594414330010865666,"My top 5 fragrances I’ve found in 2022:
5. @glossier - You
4. @Hermes_Paris - Le Jardin Sur Le Nil
3. @HelloSkylar_ - Indigo Valley
2. @snifnyc - Sweet Ash
1. @yslbeauty - Libre 

I’ve become such a perfume girlie lol, please recommend &amp; describe any fragrances you love 🛍️💕","Philadelphia, PA",,,
1,1594358022192726018,"@glossier hi, is it true that the swiss miss bdc was stocked for a bit on 17. nov on the french website? i ordered 3 but it hasn’t shipped yet, i hope it wasn’t a glitch 😢😢",she/her,,,
2,1594346634422501381,@glossier I've received 5 promotional emails from you since I completed my purchase. But no one has the time to send me a quick update on my order? 🙃,"Leeds, England",,,
3,1594316553646116864,"@glossier I emailed you days ago and have gotten no response there either, though.","Chicago, IL",,,
4,1594289659202662401,"@glossier I placed an order with you (totalling almost £100) on the 8th of November. Received an acknowledgment and order No. I've emailed twice since then, because I have not received a shipping confirmation, and those emails have gone unanswered. Please could SOMEONE respond?","Leeds, England",,,
5,1594212373937934336,@StardustDex thank you a @glossier classic!! gn six 🫶🏼,,,,
6,1594171511229018113,"RT @SSENSE: @Prada Aoyama Tokyo by @romany_williams (https://t.co/fr2y8MSoqh), @IsseyMiyakeUSA Kyoto by @nodako (https://t.co/0ZO0ZhmNfH),…",philly@dublin.com ,,,
7,1594154398439071747,"RT @LiviesHQ: @isobelvictoria_ @glossier @oliviarodrigo hey izzy, u look good 🤗",tinista & livie,,,
8,1594118447134294018,PLEASE are you going to restock the More of You Perfume and Candle set i need it for a christmas gift D: @glossier,"New York, USA",,,
9,1594115016495886338,@glossier I ordered a swiss miss balm dot com 26 days ago (to Canada) and it still hasn’t come. No updates since the order date from DHL tracker either. How long does it usually take for packages to arrive? ☹️,,,,
10,1594098902101377028,"I didn't hear about @Glossier till the @businessinsider hit piece - mostly bc I buy makeup in-store. Visited the new store in ATL and it was *packed* + a line to get in! 

Most ppl were already carrying Sephora bags inside which was interesting to see. https://t.co/eLJ7gsQUq4",Atlanta,,,
11,1594093594754826242,@blissworld @Essence @hauslabs @CTilburyMakeup @keyssoulcare @glossier @rarebeauty is this how you respond to your loyal #Customers when they get faulty products @GlowRecipe does #skincare https://t.co/8M81nSE7Y3,"Greenwich, CT and NY",,,
12,1594091765933424640,@AmySkelton20 @LiviesHQ @oliviarodrigo @glossier so pretty!!,,,,
13,1594090627788115969,"@glossier Hi, will you be restocking swiss miss on the uk site?? please say yes 👀",she/her | 21,,,
14,1594072632923607040,RT @livsosrry: SHE’S ARRIVED!! 💜🦋✨💄💋 @glossier @LiviesHQ @oliviarodrigo https://t.co/rrjxqCOsfl,NSB 4ever ♡,,,
15,1594063096334589952,@glossier I placed an order a week ago for two items and my order is still processing is that the usual for this time of year?,,,,
16,1594057772861038593,"@glossier Where is my order? Ya'll created a shipping label *10 days ago*, and it hasn't been shipped out, according to USPS. G Team hasn't been responsive at all. This is sooooo messed up.","Chicago, IL",,,
17,1594056282264473600,umm @glossier we need more swiss miss bdc,☼ IG ➳ briddynicole,,,
